time;averageAirTemp;averageWindchill;averageHeatindex;averageDewPointTemperature;averageRelativeHumidity;averageAirPressure;averageSeaLevelPressure;averageWindDirection;maxWindSpeed;averageWindSpeed;rainAccumulation;rainIntensity;averagePm10
"2018-01-06 00:00:00+01:00";7.6618055555556;8.2732638888889;41.414027777778;3.8029861111112;76.673611111111;983.19597222222;1008.1145138889;325;1.9;0.64083333333333;0;0;
"2018-01-07 00:00:00+01:00";5.5624305555555;4.6997916666667;49.057361111111;1.83;76.929513888889;995.714375;1021.1456944444;44;6.2;2.0954166666667;0;0;
"2018-01-08 00:00:00+01:00";0.80729166666667;-0.55604166666667;69.883333333333;-2.9465277777778;76.000972222222;1005.0420833333;1031.1579166667;70;5.3;2.4756944444444;0.24;0;
"2018-01-09 00:00:00+01:00";0.51784722222222;-0.74284722222222;72.005347222222;-4.8870138888889;67.508541666667;1001.215625;1027.2551388889;69;6;2.363125;0.02;0;
"2018-01-10 00:00:00+01:00";3.6736111111111;3.6824305555556;57.54375;-1.2717361111111;70.158888888889;988.73381944444;1014.1604861111;40;3.4;1.2361805555556;0.33;0.4;
"2018-01-11 00:00:00+01:00";1.3736805555556;0.99388888888889;66.170555555556;-1.8090277777778;79.37875;989.24111111111;1014.896875;53;4.3;1.5807638888889;0.21;0;
"2018-01-12 00:00:00+01:00";0.88826388888889;-0.80618055555556;68.874097222223;-2.5633333333333;77.777708333333;999.34569444444;1025.3122222222;68;6.3;2.7861111111111;0;0;
"2018-01-13 00:00:00+01:00";-0.57729166666667;-2.8455555555556;75.352638888889;-6.8588888888889;62.852430555555;1003.9448611111;1030.168125;74;7.3;3.2714583333333;0;0;
"2018-01-14 00:00:00+01:00";-3.4940277777778;-5.46125;90.211180555556;-9.9960416666667;60.833958333333;1003.1286805556;1029.6203472222;75;6.7;2.9104166666667;0;0;
"2018-01-15 00:00:00+01:00";-5.0906944444445;-5.4314583333333;100.93;-10.883888888889;63.915138888889;997.36347222223;1023.8654861111;77;4.6;1.4985416666667;0;0;
"2018-01-16 00:00:00+01:00";-0.87402777777778;-1.2845833333333;77.041597222222;-7.22875;62.926805555556;974.955625;1000.4486111111;144;8.5;1.6288888888889;0;0;
"2018-01-17 00:00:00+01:00";2.3615277777778;0.40986111111111;62.591319444444;-3.8371527777778;64.134375;969.41604166667;994.45958333333;260;10.7;3.1054166666667;0;0;
"2018-01-18 00:00:00+01:00";2.414375;0.50104166666667;62.222569444444;-4.3872916666667;61.759652777778;974.50048611111;999.67333333333;245;13.3;3.110625;0.23;0;
"2018-01-19 00:00:00+01:00";2.735;0.26972222222222;60.659097222222;-3.9939583333333;61.988611111111;977.14354166667;1002.3561111111;259;14;3.7002083333333;0;0;
"2018-01-20 00:00:00+01:00";0.55513888888889;0.88854166666667;71.607083333333;-3.6474305555555;73.579722222222;982.35833333333;1007.9132638889;237;5.1;0.94423611111111;0.01;0;
"2018-01-21 00:00:00+01:00";-0.84513888888889;-1.3043055555556;78.362847222222;-4.2332638888889;77.859513888889;982.03347222222;1007.7138888889;23;5.9;1.6411111111111;0;0;
"2018-01-22 00:00:00+01:00";-1.7357638888889;-2.2094444444444;83.476805555556;-6.33375;71.026597222222;989.38069444444;1015.3358333333;95;4.8;1.6428472222222;0.02;0;
"2018-01-23 00:00:00+01:00";-2.6523611111111;-2.6961805555556;88.965833333333;-7.146875;71.288680555555;995.96215277778;1022.1703472222;70;3.2;1.2611805555556;0.02;0;
