date,temp_balice,temp_kw,temp_agh
2017-01-02,-2.372708333333333,-6.6665217391304346,-1.7116666666667
2017-01-03,-1.215,-12.52375,-0.41381944444445
2017-01-05,-5.04625,-17.8475,-4.0776388888889
2017-01-09,-10.405416666666667,-14.976086956521739,-9.0545833333333
2017-01-11,-12.25625,-12.7075,-10.046875
2017-01-12,-0.24333333333333326,-10.765833333333333,0.37993055555555
2017-01-13,1.794375,-8.680416666666666,3.2463194444444
2017-01-14,0.17354166666666668,-11.875833333333333,1.1038888888889
2017-01-17,-4.549375,-14.465,-3.2729166666667
2017-01-31,-4.583541666666666,-7.037916666666667,-2.866875
2017-02-01,-1.6320833333333333,-5.000416666666666,-0.23784722222222
2017-02-02,0.16166666666666665,-5.022916666666666,1.4705555555556
2017-02-04,0.17479166666666668,-2.1529166666666666,1.0221527777778
2017-02-05,0.9491666666666667,-5.230833333333334,2.0304861111111
2017-02-09,-6.517291666666667,-5.117083333333333,-5.9613888888889
2017-02-17,0.856875,-3.8433333333333333,2.2654166666667
2017-02-18,1.7827083333333333,-7.93875,2.7701388888889
2017-02-20,2.1064583333333333,-6.2508333333333335,3.5522916666667
2017-02-21,5.26625,-4.02625,6.1648611111111
2017-02-22,6.4470833333333335,-4.028333333333333,7.6565972222223
2017-02-23,6.412083333333333,-1.5745833333333334,7.6314583333333
2017-02-24,5.45125,-5.925833333333333,7.1288194444444
2017-02-25,-0.046250000000000006,-11.829166666666667,1.4198611111111
2017-02-28,7.881875,-3.2170833333333335,9.7350694444445
2017-03-01,5.984166666666667,-6.158333333333333,7.4403472222223
2017-03-02,5.647916666666666,-6.087083333333333,7.4175694444444
2017-03-05,12.67375,-1.5279166666666668,13.833125
2017-03-06,5.845,-5.485833333333334,7.0154861111111
2017-03-09,2.3264583333333335,-4.698333333333333,3.6069444444444
2017-03-10,3.877083333333333,-6.08875,4.9953472222222
2017-03-11,4.5372916666666665,-8.679166666666667,5.1534722222222
2017-03-12,3.564583333333333,-9.328333333333333,4.2563888888889
2017-03-15,4.930416666666667,-5.160833333333334,6.1203472222222
2017-03-17,6.180833333333333,-2.8269565217391306,7.5547916666667
2017-03-18,5.022708333333333,-5.462916666666667,5.8030555555556
2017-03-19,4.005,-8.031666666666666,4.7036805555555
2017-03-20,8.565208333333333,-1.5758333333333334,9.4595138888889
2017-03-21,9.293541666666666,0.5775,10.770694444444
2017-03-22,5.7629166666666665,1.3441666666666667,6.5934027777778
2017-03-23,5.78625,1.7145833333333333,6.2988194444445
2017-03-24,5.844791666666667,-1.1095833333333334,6.8422222222222
2017-03-29,11.782916666666667,1.8754166666666667,12.495347222222
2017-04-03,11.828958333333333,3.3795833333333336,13.160555555556
2017-04-04,13.091041666666667,3.033333333333333,14.372638888889
2017-04-05,11.319583333333334,0.3025,12.600625
2017-04-06,5.451666666666667,-6.3429166666666665,6.375
2017-04-07,5.404583333333333,-5.925833333333333,5.4625
2017-04-08,9.699583333333333,-2.962083333333333,10.263680555555
2017-04-10,11.99125,2.0833333333333335,13.156328233658
2017-04-11,7.742708333333334,-3.4029166666666666,9.010625
2017-04-12,8.171041666666667,-4.536666666666667,8.8497222222222
2017-04-13,8.357083333333334,-3.5420833333333333,9.2981944444445
2017-04-14,7.233333333333333,-5.17,8.4717361111111
2017-04-15,8.483958333333334,-3.4266666666666667,9.3049305555556
2017-04-16,5.671458333333334,-6.689583333333333,6.6091666666667
2017-04-17,5.347083333333334,-7.175416666666667,5.8165277777778
2017-04-18,1.8862500000000002,-6.944583333333333,2.6216666666667
2017-04-19,2.4533333333333336,-9.234583333333333,2.8640972222222
2017-04-20,1.8977083333333333,-11.782916666666667,2.7641666666667
2017-04-21,5.058125,-8.263333333333334,5.1326388888889
2017-04-22,6.643541666666667,-4.882916666666667,7.8842361111111
2017-04-23,4.468333333333334,-8.33375,5.1142361111111
2017-04-24,5.590416666666667,-6.898333333333333,6.7011805555556
2017-04-25,10.544375,-0.3458333333333333,11.707361111111
2017-04-26,6.007291666666667,0.5579166666666667,6.8260416666667
2017-04-27,4.466458333333334,1.2983333333333333,5.1167361111111
2017-04-28,5.439791666666666,1.9224999999999999,5.8659027777777
2017-04-30,6.7472916666666665,-4.19,7.5389583333333
2017-05-02,9.699375,3.28625,10.405277777778
2017-05-03,10.786875,4.142083333333334,11.277430555556
2017-05-04,11.215208333333333,2.2470833333333333,12.025555555556
2017-05-05,13.11375,2.73,13.602083333333
2017-05-06,13.912083333333333,3.680416666666667,14.486875
2017-05-07,12.742916666666666,1.6666666666666667,13.615
2017-05-08,9.653125,-1.43625,10.268819444444
2017-05-09,4.490625,-7.568333333333333,5.6221527777778
2017-05-11,12.117708333333333,0.046249999999999986,13.174791666667
2017-05-12,12.8825,3.9345833333333333,13.366180555556
2017-05-13,12.569166666666666,3.517916666666667,13.053055555555
2017-05-15,14.687708333333333,4.26,15.7975
2017-05-16,13.101875,2.5708333333333333,14.11875
2017-05-20,16.51340425531915,6.690833333333334,17.375694444444
2017-05-21,15.150416666666667,3.6795833333333334,15.451111111111
2017-05-23,16.35375,5.9185,17.436458333333
2017-05-24,12.639375,2.497916666666667,13.471736111111
2017-05-25,12.662291666666667,0.8108333333333333,13.159722222222
2017-05-30,21.042083333333334,11.526666666666667,22.189166666667
2017-05-31,19.317708333333332,8.587916666666667,20.468819444444
2017-06-04,19.467708333333334,8.79625,20.599930555556
2017-06-05,18.078125,6.852083333333333,18.705
2017-06-06,21.423333333333332,8.680416666666666,22.061875
2017-06-10,15.682916666666667,5.486666666666666,16.749722222222
